iter	Passed	Remaining
412	3655	14047
413	3664	14039
414	3674	14032
415	3683	14024
416	3692	14016
417	3701	14008
418	3710	13999
419	3718	13989
420	3727	13981
421	3736	13973
422	3746	13965
423	3754	13955
424	3763	13945
425	3772	13938
426	3781	13929
427	3790	13920
428	3798	13911
429	3807	13902
430	3816	13893
431	3825	13884
432	3833	13873
433	3842	13863
434	3850	13854
435	3859	13845
436	3868	13836
437	3877	13829
438	3886	13820
439	3895	13811
440	3903	13798
441	3912	13791
442	3921	13781
443	3930	13773
444	3939	13764
445	3948	13757
446	3957	13747
447	3965	13738
448	3974	13729
449	3983	13721
450	3992	13712
451	4001	13702
452	4009	13693
453	4018	13685
454	4027	13675
455	4035	13664
456	4044	13656
457	4053	13647
458	4063	13640
459	4073	13638
460	4085	13640
461	4095	13632
462	4111	13649
463	4123	13651
464	4133	13644
465	4141	13634
466	4151	13626
467	4160	13619
468	4169	13610
469	4179	13605
470	4188	13596
471	4197	13589
472	4206	13579
473	4214	13569
474	4224	13561
475	4232	13552
476	4241	13543
477	4251	13536
478	4259	13524
479	4267	13513
480	4276	13505
481	4283	13491
482	4293	13485
483	4301	13472
484	4309	13460
485	4316	13447
486	4324	13433
487	4333	13426
488	4340	13413
489	4348	13401
490	4356	13387
491	4363	13374
492	4370	13361
493	4379	13349
494	4386	13335
495	4393	13322
496	4401	13309
497	4408	13296
498	4416	13283
499	4424	13272
500	4431	13258
501	4439	13247
502	4448	13239
503	4457	13230
504	4464	13216
505	4472	13205
506	4480	13193
507	4488	13182
508	4497	13175
509	4506	13165
510	4515	13157
511	4523	13147
512	4533	13140
513	4542	13132
514	4551	13124
515	4558	13111
516	4567	13102
517	4575	13089
518	4583	13078
519	4601	13095
520	4611	13092
521	4622	13089
522	4631	13080
523	4640	13070
524	4648	13059
525	4657	13051
526	4665	13039
527	4672	13026
528	4680	13013
529	4688	13002
530	4696	12993
531	4705	12985
532	4714	12976
533	4722	12965
534	4731	12957
535	4740	12946
536	4747	12933
537	4756	12926
538	4765	12917
539	4774	12909
540	4782	12898
541	4790	12887
542	4799	12877
543	4807	12867
544	4816	12858
545	4825	12850
546	4833	12838
547	4842	12829
548	4851	12821
549	4860	12813
550	4868	12804
551	4878	12796
552	4886	12787
553	4895	12776
554	4903	12766
555	4913	12760
556	4920	12748
557	4928	12736
558	4935	12724
559	4942	12710
560	4951	12700
561	4958	12688
562	4966	12676
563	4975	12667
564	4983	12658
565	4992	12649
566	5001	12641
567	5010	12632
568	5019	12624
569	5028	12616
570	5037	12607
571	5045	12597
572	5056	12591
573	5064	12582
574	5072	12570
575	5083	12567
576	5091	12557
577	5100	12548
578	5109	12539
579	5119	12535
580	5129	12528
581	5139	12521
582	5148	12513
583	5157	12505
584	5168	12500
585	5177	12494
586	5188	12488
587	5196	12478
588	5206	12473
589	5216	12465
590	5227	12462
591	5241	12466
592	5252	12461
593	5261	12453
594	5270	12445
595	5279	12436
596	5288	12427
597	5297	12420
598	5306	12412
599	5315	12402
600	5323	12392
601	5332	12383
602	5341	12375
603	5350	12366
604	5358	12356
605	5368	12349
606	5377	12340
607	5386	12331
608	5394	12322
609	5403	12311
610	5411	12301
611	5420	12292
612	5428	12282
613	5436	12271
614	5443	12259
615	5451	12248
616	5460	12239
617	5469	12231
618	5478	12221
619	5487	12213
620	5495	12203
621	5503	12193
622	5512	12184
623	5521	12175
624	5530	12166
625	5539	12158
626	5547	12147
627	5555	12138
628	5564	12128
629	5574	12121
630	5583	12112
631	5591	12103
632	5600	12095
633	5610	12089
634	5620	12081
635	5629	12072
636	5638	12064
637	5647	12056
638	5656	12047
639	5665	12039
640	5674	12030
641	5683	12022
642	5692	12013
643	5701	12004
644	5709	11995
645	5718	11986
646	5727	11977
647	5736	11967
648	5744	11958
649	5754	11951
650	5763	11943
651	5771	11933
652	5780	11923
653	5789	11915
654	5798	11907
655	5806	11896
656	5815	11887
657	5823	11877
658	5833	11870
659	5842	11861
660	5851	11852
661	5859	11843
662	5868	11833
663	5876	11823
664	5884	11813
665	5892	11803
666	5902	11795
667	5910	11785
668	5919	11777
669	5928	11768
670	5937	11759
671	5945	11750
672	5954	11740
673	5962	11730
674	5974	11728
675	5985	11722
676	5994	11715
677	6003	11705
678	6012	11697
679	6022	11690
680	6031	11681
681	6043	11679
682	6052	11670
683	6060	11659
684	6068	11649
685	6077	11641
686	6086	11631
687	6095	11623
688	6103	11612
689	6111	11603
690	6120	11594
691	6129	11585
692	6137	11575
693	6146	11566
694	6154	11556
695	6164	11548
696	6172	11539
697	6181	11530
698	6190	11521
699	6199	11513
700	6208	11504
701	6217	11495
702	6226	11486
703	6234	11477
704	6243	11468
705	6251	11459
706	6260	11449
707	6269	11441
708	6278	11432
709	6287	11423
710	6296	11414
711	6304	11405
712	6315	11399
713	6323	11390
714	6333	11382
715	6342	11373
716	6350	11363
717	6358	11353
718	6368	11345
719	6376	11336
720	6386	11328
721	6395	11319
722	6403	11310
723	6412	11301
724	6421	11293
725	6430	11284
726	6439	11275
727	6447	11266
728	6457	11257
729	6466	11249
730	6474	11240
731	6483	11231
732	6492	11222
733	6501	11213
734	6510	11204
735	6518	11194
736	6526	11185
737	6534	11174
738	6544	11166
739	6553	11158
740	6561	11148
741	6569	11137
742	6578	11129
743	6587	11121
744	6596	11112
745	6604	11102
746	6613	11093
747	6622	11084
748	6631	11075
749	6639	11066
750	6648	11057
751	6657	11048
752	6666	11039
753	6675	11031
754	6684	11022
755	6693	11014
756	6702	11005
757	6710	10995
758	6719	10986
759	6728	10977
760	6737	10969
761	6745	10959
762	6754	10950
763	6763	10941
764	6772	10932
765	6781	10923
766	6789	10914
767	6798	10905
768	6806	10896
769	6815	10886
770	6824	10878
771	6833	10869
772	6842	10861
773	6851	10852
774	6859	10843
775	6868	10834
776	6878	10826
777	6886	10816
778	6896	10809
779	6905	10800
780	6913	10791
781	6923	10782
782	6932	10774
783	6941	10766
784	6949	10756
785	6958	10747
786	6967	10739
787	6976	10729
788	6984	10720
789	6993	10711
790	7002	10702
791	7010	10693
792	7019	10684
793	7028	10674
794	7036	10665
795	7045	10657
796	7053	10647
797	7060	10635
798	7070	10628
799	7079	10619
800	7087	10609
801	7095	10599
802	7104	10590
803	7113	10582
804	7122	10573
805	7131	10564
806	7139	10554
807	7148	10545
808	7157	10536
809	7165	10527
810	7174	10517
811	7182	10508
812	7191	10500
813	7200	10491
814	7209	10482
815	7218	10473
816	7227	10464
817	7235	10455
818	7244	10446
819	7253	10437
820	7262	10429
821	7270	10419
822	7279	10410
823	7288	10401
824	7296	10392
825	7306	10384
826	7315	10376
827	7323	10366
828	7332	10357
829	7341	10348
830	7350	10340
831	7359	10332
832	7368	10322
833	7377	10314
834	7386	10305
835	7394	10296
836	7403	10287
837	7412	10278
838	7421	10269
839	7429	10260
840	7438	10251
841	7447	10242
842	7456	10234
843	7465	10224
844	7473	10215
845	7482	10207
846	7491	10197
847	7499	10188
848	7508	10178
849	7517	10170
850	7526	10162
851	7535	10152
852	7543	10143
853	7552	10134
854	7560	10125
855	7569	10116
856	7578	10107
857	7587	10098
858	7595	10089
859	7605	10081
860	7614	10072
861	7622	10063
862	7632	10055
863	7640	10046
864	7650	10038
865	7659	10029
866	7667	10020
867	7675	10010
868	7684	10001
869	7693	9992
870	7701	9983
871	7708	9971
872	7717	9963
873	7726	9954
874	7735	9945
875	7744	9937
876	7753	9928
877	7762	9919
878	7771	9910
879	7779	9901
880	7788	9892
881	7797	9883
882	7806	9875
883	7815	9866
884	7824	9857
885	7834	9850
886	7843	9841
887	7851	9831
888	7860	9823
889	7869	9814
890	7878	9805
891	7886	9795
892	7895	9787
893	7904	9778
894	7913	9770
895	7922	9761
896	7931	9752
897	7939	9743
898	7948	9734
899	7956	9725
900	7965	9715
901	7975	9708
902	7984	9699
903	7993	9690
904	8002	9683
905	8011	9674
906	8020	9665
907	8029	9657
908	8038	9648
909	8045	9637
910	8052	9626
911	8061	9616
912	8070	9608
913	8078	9599
914	8087	9590
915	8096	9581
916	8105	9572
917	8113	9563
918	8122	9554
919	8131	9545
920	8140	9536
921	8149	9527
922	8156	9517
923	8164	9507
924	8210	9542
925	8240	9557
926	8259	9559
927	8268	9552
928	8278	9543
929	8288	9535
930	8297	9527
931	8306	9519
932	8315	9510
933	8325	9501
934	8334	9493
935	8343	9484
936	8352	9475
937	8360	9465
938	8369	9456
939	8379	9448
940	8387	9438
941	8394	9428
942	8402	9418
943	8412	9410
944	8421	9401
945	8437	9400
946	8446	9391
947	8454	9381
948	8463	9372
949	8472	9364
950	8481	9355
951	8489	9345
952	8499	9337
953	8508	9328
954	8517	9320
955	8527	9312
956	8535	9302
957	8544	9293
958	8552	9284
959	8561	9275
960	8570	9266
961	8579	9257
962	8588	9248
963	8597	9239
964	8605	9229
965	8613	9220
966	8622	9210
967	8629	9200
968	8636	9189
969	8643	9178
970	8650	9167
971	8657	9156
972	8664	9145
973	8672	9135
974	8681	9126
975	8688	9116
976	8696	9105
977	8704	9096
978	8714	9087
979	8722	9078
980	8731	9069
981	8739	9060
982	8749	9051
983	8758	9043
984	8767	9034
985	8776	9025
986	8784	9015
987	8792	9006
988	8801	8997
989	8810	8988
990	8818	8978
991	8826	8969
992	8835	8959
993	8843	8950
994	8851	8940
995	8859	8931
996	8868	8922
997	8877	8912
998	8884	8902
999	8893	8893
1000	8902	8884
1001	8911	8875
1002	8919	8866
1003	8928	8856
1004	8936	8847
1005	8945	8838
1006	8953	8829
1007	8962	8820
1008	8971	8811
1009	8980	8803
1010	8990	8794
1011	8999	8785
1012	9007	8776
1013	9015	8766
1014	9024	8757
1015	9033	8748
1016	9040	8738
1017	9049	8729
1018	9058	8720
1019	9066	8710
1020	9074	8701
1021	9083	8692
1022	9091	8682
1023	9099	8673
1024	9107	8663
1025	9116	8654
1026	9122	8643
1027	9130	8633
1028	9139	8624
1029	9147	8615
1030	9155	8605
1031	9163	8595
1032	9171	8585
1033	9180	8576
1034	9189	8567
1035	9198	8559
1036	9207	8550
1037	9216	8541
1038	9225	8532
1039	9233	8523
1040	9242	8514
1041	9251	8505
1042	9259	8496
1043	9267	8486
1044	9276	8477
1045	9285	8468
1046	9294	8460
1047	9303	8451
1048	9312	8442
1049	9321	8433
1050	9330	8425
1051	9339	8416
1052	9348	8407
1053	9357	8398
1054	9365	8389
1055	9374	8380
1056	9383	8371
1057	9392	8362
1058	9401	8353
1059	9409	8344
